fao_name,common_names,fda_name,taxocode,code_3a,order,family,genus,specific_descriptor
Cholga mussel,Cholga,,3161003801,MSC,Bivalvia,Mytilidae,Aulacomya,atra
Chub,,,1400202008,LUH,Cypriniformes,Cyprinidae,Leuciscus,cephalus
Chum salmon,,,1230100903,CHU,Salmoniformes,Salmonidae,oncorhynchus,keta
Cinnabar goatfish,"Red Mullet, Goatfish",,1704120010,RQF,Percoidei,Mullidae,parupeneus,heptacanthus
,Claca,,2130301503,MBW,Thoracica,Balanidae,Megabalanus,tintinnabulum
Clearhead icefish,,,1230900201,PRS,Salmoniformes,Salangidae,Protosalanx,hyalocranius
Climbing perch,,,1760500201,FPC,"Stromateoidei, Anabantoidei",Anabantidae,Anabas,testudineus
Coastal mud shrimp,,,2282907204,SOJ,Decapoda,Solenoceridae,Solenocera,crassicornis
Cobia,,,1702222101,CBA,Percoidei,Rachycentridae,rachycentron,canadum
Coho salmon,,,1230100908,COH,Salmoniformes,Salmonidae,Oncorhynchus,kisutch
Comber,,,1700206101,CBR,Percoidei,Serranidae,Serranus,cabrilla
Common European bittersweet,Dog cockle,,3161300102,GKL,Bivalvia,Glycymerididae,glycymeris,glycymeris
Common carp,European carp,,1400200201,FCP,Cypriniformes,Cyprinidae,cyprinus,carpio
Common cuttlefish,Cuttlefish ,,3210200202,CTC,Cephalopoda,Sepiidae,sepia,officinalis
Common dab,,,1830202405,DAB,Pleuronectiformes,Pleuronectidae,limanda,limanda
Common dentex,,,1703906006,DEC,Percoidei,Sparidae,Dentex,dentex
Common dolphinfish,Mahi-mahi,,1702807101,DOL,Percoidei,Coryphaenidae,coryphaena,hippurus
Common eagle ray,,,1100700801,MYL,Rajiformes,Myliobatidae,Myliobatis,aquila
Common edible cockle,,,3162300203,COC,Bivalvia,Cardiidae,cerastoderma,edule
Common guitarfish,,,1100100524,RBX,Rajiformes,Rhinobatidae,Rhinobatos,rhinobatos
Common mora,,,1480201001,RIB,Gadiformes,Moridae,Mora,moro
Common octopus,,,3210900507,OCC,Cephalopoda,Octopodidae,Octopus,vulgaris
Common otter shell,,,3161200301,UTL,Bivalvia,Mactridae,Lutraria,lutraria
Common pandora,,,1703900802,PAC,Percoidei,Sparidae,Pagellus,erythrinus
Common periwinkle,winkle,,3070100101,PEE,Gastropoda,Littorinidae,littorina,littorea
Common prawn,,,2281201810,CPR,Natantia,Palaemonidae,Palaemon,serratus
Common shrimp,brown shrimp,,2282300303,CSH,Natantia,Crangonidae,Crangon,crangon
Common sole,European Dover sole,,1830300701,SOL,Pleuronectiformes,Soleidae,solea,solea
Common spiny lobster,,,2290100804,SLO,Reptantia,Palinuridae,Palinurus,elephas
Common squids nei,(multispecies),,32104001XX,SQC,Cephalopoda,Loliginidae,loligo,spp.
Common stingray,,,1100500326,JDP,Rajiformes,Dasyatidae,Dasyatis,pastinaca
Common torpedo,,,1110100213,TTV,Torpediniformes,Torpedinidae,Torpedo,torpedo
Common two-banded seabream,,,1703903305,CTB,Percoidei,Sparidae,Diplodus,vulgaris
Common warehou,,,1760801002,SEM,"Stromateoidei, Anabantoidei",Centrolophidae,Seriolella,brama
Constricted tagelus,Chinese razor clam,,3164000101,SVT,Bivalvia,Solecurtidae,Sinonovacula,constricta
Cook's cardinalfish,,,1701200106,QCD,Percoidei,Apogonidae,Ostorhinchus,cookii
Copper shark,,,1080201020,BRO,Carcharhiniformes,Carcharhinidae,Carcharhinus,brachyurus
Corkwing wrasse,,,1706338702,YFM,Percoidei,Labridae,Symphodus,melops
Corsican moss,,,7872200102,DMH,Rhodophyceae,Rhodomelaceae,Alsidium,helminthochorton
Cortez oyster,,,3160700813,OYR,Bivalvia,Ostreidae,Crassostrea,corteziensis
Corvina drum,,,1703756501,IAG,Percoidei,Sciaenidae,cilus,gilberti
Cotton spinner,,,6940100301,HFT,Holothuroidea,Holothuriidae,Holothuria,tubulosa
Cownose ray,,,1100702402,MRB,Rajiformes,Myliobatidae,rhinoptera,bonasus
Crangon shrimps nei,,,22823003XX,CNZ,Natantia,Crangonidae,Crangon,spp
Creole-fish,,,1700219501,TIF,Percoidei,Serranidae,Paranthias,furcifer
